emo,count
),2
:(,-2
:|,-1
:],2
:[,-2
:},2
:{,-2
:/,-2
:\,-2
:*,2
:-),2
:-(,-2
:-|,-1
:-],2
:-[,-2
:-},2
:-?,-1
:->,2
:-*,2
:-D,3
:-P,3
:-S,-2
:-p,3
:-/,-2
:D,3
:P,3
:S,-2
:p,3
:o),2
:'(,-2
(:,2
):,-2
(-:,2
)-:,-2
;-(,-2
;),2
;(,-2
;-),2
;-D,3
=(,-2
=/,-2
#NAME?,-2
=^/,-1
#NAME?,3
\o/,3
?,3
:-)),3
:-))),3
:-)))),3
:-))))),3
:-)))))),4
:-))))))),4
:-)))))))),4
:-))))))))),4
://,0
:)),3
:))),3
:)))),3
:))))),3
:)))))),4
:))))))),4
:)))))))),4
:))))))))),4
:)))))))))),4
:-((,-3
:-(((,-3
:-((((,-3
:((,-3
;)),3
;))),3
<3,3
<33,3
<333,4
<3333,4
<33333,4
<333333,4
<3333333,4
<33333333,4
<333333333,4
8(,-2
8),2
8-D,3
8-),2
8-(,-2
8D,3
X-D,3
XD,3
XO,3
XOXO,3
XOXOXO,4
x-D,3
xD,3
xo,3
xoxo,3
xoxoxo,4
xoxoxoxo,4
:-)     ,3
:),3
:-]     ,3
:],3
:-3     ,3
:3,3
:->     ,3
:>,3
8-)     ,3
8),3
:-}     ,3
:},3
:o),3
:c),3
:^),3
=],3
=),3
:-D     ,4
:D,4
8-D     ,4
8D,4
x-D     ,4
xD,4
X-D     ,4
XD,4
#NAME?,4
 =3,4
B^D,4
:-)),4
:-(     ,-1
:(,-1
:-c     ,-1
:c,-1
:-<     ,-1
:<,-1
:-[     ,-1
:[,-1
:-||,-1
>:[,-1
:{,-1
:@,-1
>:(,-1
:'-(    ,-2
:'(,-2
:'-)     ,1
:'),1
D-':,-3
D:<,-3
D:,-3
D8,-3
D;,-3
D=,-3
DX,-3
:-O      ,-1
:O,1
:-o       ,-2
:o,2
:-0,-2
  8-0 ,-2
>:O,2
:-*        ,2
:*,2
:�,2
;-)        ,1
;),1
*-)        ,1
*),1
;-]        ,1
;],1
;^),1
":-,",1
;D         ,1
:-P       ,-1
:P,-1
X-P       ,-1
XP,-1
x-p       ,-1
xp,-1
:-p       ,-1
:p,-1
:-�        ,-1
:�,-1
:-�        ,-1
:�,-1
:-b        ,-1
:b,-1
d:,-1
#NAME?,-1
>:P,-1
:-/         ,-2
:/,-2
:-.,-2
>:\,-2
>:/,-2
:\,-2
=/,-2
#NAME?,-2
:L,-2
#NAME?,-2
:S,-2
:-|         ,0
:|,0
:$,-2
:-X         ,-1
:X,-1
:-#          ,-1
:#,-1
:-&          ,-1
:&,-1
O:-)         ,1
O:)          ,1
0:03,1
0:-3,1
0:)          ,1
0:-),1
0;^),1
>:)          ,-2
>:-),-2
}:-)         ,-2
}:),-2
3:-)         ,-2
3:),-2
>;),-2
|;),2
|-O,0
:-J,1
#-),4
%-)       ,-2
%)         ,-2
:-###..    ,-3
:###..,-3
<:-|,-1
